US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender=male,Address_is_res,Spending
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2024,2068,1,1,0,437
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2080,2114,1,1,1,34.56
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,583,594,0,0,0,412
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50,50,1,1,0,25
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3270,3270,1,0,0,152.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1926,1926,0,1,0,62
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1567,1567,1,0,0,31.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2404,4036,1,0,0,187.35
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,0,0,0,80
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1577,1589,1,0,0,276.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1037,1899,0,1,0,277.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,511,1815,1,0,0,268.06
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,191,2024,1,1,0,363.07
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,182,182,1,1,0,1075
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2201,2558,0,0,0,164
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3236,3236,1,1,0,128.21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,583,1060,1,0,0,69
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2081,2081,1,0,1,129.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2541,2541,0,0,0,174
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2205,3390,0,0,0,36.32
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2996,2996,1,0,0,183.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1701,1701,0,0,0,110
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3883,3883,1,1,0,33
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2802,2834,1,0,0,129.57
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1946,1946,1,0,0,129.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2562,2562,1,1,0,34.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2705,2705,0,1,0,129.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2333,2333,1,1,1,160.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2933,2936,1,1,0,54.29
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,290,290,1,1,0,163
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,772,772,0,0,0,80
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2194,2506,0,0,1,160.56
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1141,2915,0,1,0,208
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3011,3011,0,1,0,79.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2080,2109,1,0,1,34.56
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,962,2905,0,0,0,140.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2648,2648,1,1,0,129.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1758,2794,1,1,0,166.57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,814,814,1,1,0,172
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,58,1,0,0,99
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2960,2999,0,0,0,129.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1882,3883,1,0,0,210.35
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2163,2228,0,0,0,107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1683,1683,0,0,0,84.95
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,800,2640,1,1,0,1294
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,304,311,1,0,0,303
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1134,3566,1,0,0,270.71
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1361,1361,0,0,0,1250
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1204,1262,0,0,0,80.57
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4065,4065,0,0,0,32.14
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,107,107,1,1,0,129
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2009,2065,0,1,0,162.55
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1086,2710,0,1,1,135.06
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1879,1953,0,0,0,164.12
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1786,1835,1,0,0,95.05
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1129,2348,0,0,0,279.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1899,2233,0,0,1,165.99
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1162,1162,1,0,1,163.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2478,2478,0,0,0,135.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,1,0,129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1130,1147,0,0,0,308.95
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2891,3166,1,0,1,143.07
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2599,2599,1,0,0,129.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,3122,1,1,0,199.57
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,283,640,0,0,0,405
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3025,3025,1,0,0,152.52
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1175,2299,0,0,0,43.57
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3791,3791,1,1,0,87.55
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2767,2767,1,0,0,124
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1690,1690,0,0,0,89.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1666,1666,0,0,0,164.75
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2793,2793,1,0,0,169.95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1290,1290,0,0,0,112.4
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1626,1626,0,0,0,164.95
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1968,1968,1,0,0,255
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2305,3745,1,0,0,59.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,526,1779,1,0,1,426.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991,1991,0,1,0,260.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,408,2604,0,0,1,188
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,1,0,160.5
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2100,3944,0,1,0,204.43
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3398,3522,1,0,0,192.07
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3479,3975,0,0,1,189.45
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,520,1008,1,1,0,211.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2194,2241,0,1,1,29.56
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1582,1603,1,0,1,3.45
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2758,2758,1,0,0,160.5
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2481,3359,1,1,0,618.78
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,1,0,113.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,916,919,1,0,1,43.06
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1864,1864,0,0,0,29.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,295,302,0,0,0,164
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1128,3746,0,1,0,247.5
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,492,1792,1,1,1,139.06
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2962,3244,1,1,0,96.02
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4157,4157,0,1,0,97.79
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,891,891,1,1,0,80.5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2065,3822,0,1,0,197.45
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2054,2404,1,1,0,25
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1134,3464,0,0,1,314.07
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,841,2088,1,1,1,50.06
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3655,3655,0,1,0,35.07
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2802,2802,1,1,0,160.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2016,2424,1,0,0,1353
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,430,2772,1,1,0,1184
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3146,3146,1,0,0,10
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1536,1709,0,1,0,1500.06
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3248,3248,0,0,1,132.25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3235,3235,1,1,1,110
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1031,3388,0,1,0,190.5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2201,2254,0,0,0,99.45
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2529,2529,1,0,0,34.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3129,3262,0,1,0,216.97
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3283,3306,1,0,0,128.07
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,479,2578,0,0,0,459
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1192,1192,1,1,0,43.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,314,314,0,1,0,149
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,506,1785,1,1,0,281.5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2072,2102,0,0,0,104.55
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2618,2618,1,1,1,6
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,9,0,1,1,195.95
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3278,3278,1,0,0,152.52
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1529,1619,0,1,1,424.13
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3583,4188,0,0,0,205.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,827,1,1,0,114
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,864,1248,0,1,0,163
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3975,4157,1,1,0,170.43
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2044,2081,1,1,1,135.56
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1646,1708,0,1,1,83.01
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,113.5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,906,906,1,0,1,140.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1498,1536,1,0,1,39.56
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2744,2758,1,0,0,85.57
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1842,2737,1,1,1,169.06
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,247,2361,0,0,0,323.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,758,758,0,1,0,83
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1122,3791,0,0,0,274.28
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1137,3125,0,0,1,287
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1794,2291,1,1,1,258.96
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,0,0,102.67
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,216,3125,1,0,0,133.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1498,2831,0,1,1,209.34
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1739,3278,0,1,0,226.07
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1130,1779,0,0,0,252
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1612,1612,0,0,0,42.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1568,2935,1,0,0,343.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,1,0,53.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,535,535,0,1,1,149
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,486,486,0,1,0,29.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3262,3262,1,1,0,157.95
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2249,2249,0,0,0,54.46
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2647,3689,0,1,0,1255
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3593,3593,0,1,0,97.6
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,2361,0,0,0,84.5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4188,4188,1,1,0,136.95
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2772,2772,1,0,0,135
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1261,2137,0,0,0,43.5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,827,827,1,1,0,163
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3590,4005,1,0,0,116.29
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,3157,1,0,1,172.1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1570,3746,1,0,0,104
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2977,2978,0,0,0,69.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,583,1,0,0,271
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2991,2991,1,0,1,183.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,0,0,160.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2999,2999,1,0,0,33.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,463,2432,1,1,0,321.5
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,301,1036,0,0,0,1249
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,308,308,0,1,0,40
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2415,2415,1,1,0,34.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,113,113,1,0,0,308
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1653,1934,1,0,1,192.13
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1708,1800,1,1,0,122.45
