UserName,Tweet
"AndrewRuggeri","RT @LiveToPlayFB: Let's go @Seahawks! #ImIn http://t.co/RSms59A0M4"
"Nick0251xx","Haha snow RKC"
"Zay_LoudedUp","RT @stillblazingtho: SuperBowl? Wheres my lighter."
"JCCWatch","I Will Bless Those That Bless Israel#BDSFail Ambulance Drones are Almost Herehttp://t.co/tZL8IOjmSh@rushetteny @henryrops1"
"reginapetrucci","RT @GMA: Who are you rooting for tonight? RT if you're cheering for the #Broncos! http://t.co/RB9Lmxpnlg"
"morgeson_","@NWSIWX will it be all snow or little wintry mix"
"sirk_25","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"alindiKris","#Seahawks!"
"dlane20","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"jamesrodgers888","THE FREAKING GROUNDHOG PREDICTS A LONGER WINTER EVERY YEAR"
"BookerWoodfox","peyton manning...  he's an AMBASSADOR to the game. he's the most important player to play the game #espn should be #ashamed. #SuperBowl"
"liz_krug","Only reason why girls should actually care about the SuperBowl  #Broncos http://t.co/Wb878Ep4r9"
"PaursaK","RT @ThadCastIe_: Who you takin?Retweet for Wilson and the SeahawksFavorite for Manning and the Broncos http://t.co/cqKg9OZRlm"
"SavannaaRene","IM TIRED OF COLD WEATHER."
"HoIIyy_","SuperBowl tonightt"
"TesRenMus2000","RT @987ampradio: BREAKING: Danielle Jonas, Kevin Jonas' wife, is in labor. The couple is expecting a baby girl. Good luck guys!! #BabyJonas"
"Isaac_Wynne","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"CocoNutz_","RT @islikegod: i hope the raiders win the superbowl today"
"Clarissabear18","I don't like the rain, it's depressing"
"IsaacVerDow","Sunday morning rain is falling. "
"RightOfCenterNC","#NEWS Sen. Tim Scott Brushes Off NAACP Ventriloquists Dummy Charge http://t.co/XXaQO0xK49"
"JakeKoeske","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"__Acariciar","RT @TrxllLife: #SuperBowl http://t.co/Yi068jD3sO"
"DaveRodriguezz","RT @Marcissist: You can bet on whether anyone in RHCP will be shirtless today http://t.co/Jki3SlfYif"
"hcsaryarkakz","# #  :     http://t.co/ydUv2UKrtT"
"thai_khamsanit","24-17 Seahawks"
"MelanieBorchers","Sonnenzentrum war groartig, ist jetzt aber sogar noch besser! http://t.co/onXPYEA3Mj #Android #Androidgames #Gameinsight"
"emmykinz13","Hot bubble baths on a cold winter day are THE best thing in the world."
"Anerahnell","RT @BruceWayneAnon: The best way to verify the presence of #GeoEngineering in the snow would be to test it for heavy metals. @tathan_neeter"
"FinzelBrady","RT @Garrettsnell: I wouldn't mind 4-8 inches of snow tomorrow #snowday"
"ShaunaDicko","Nice cuppa hot chocolate  #relaxing"
"MayianiS","The idea that a war can be won by standing on the defensive & waiting for the enemy to attack is a dangerous fallacy,.. cont."
"DaltonTheKIDD","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"CentralNewsPage","Report: Moderate Earthquake Hits Southern Iran: Report: Moderate earthquake hits southern Iran http://t.co/ctD4VkPBvV #ABC"
"DosxAngeles","Wait? Theres a #SuperBowl today?"
"_Danielinho10","RT @Juezcentral: 250 millones de personas en todo el mundo ven la final de la Champions League. 120 millones de personas SLO EN USA vern "
"SWFFour","RT @ABCWorldNews: Who are you rooting for tonight? RT if you're cheering for the #Seahawks! http://t.co/dPvoDM1i3e"
"mjb0969","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"MaritzaGlorioso","You can't even see my feet cause this snow is TOO DAMN HIGH http://t.co/l5OGA5DzcE"
"salvadefan","@ripperdouche omG, it so is. hearty home life ahahah. this brings to mind 1864 football. ;)"
"heyitsbhumi","Good job weather, I am proud of you #nowind #feelslikespring"
"youngDURI_","@DamnKashhh: I hate football  smh"
"MixonFruitFarms","Who is ready to eat some Hershey Kisses?  Be the first to eat 20 and win.  Next Saturday be here or be square. :)... http://t.co/Q6ZIdKZ11w"
"ZaraNesh","RT @NiallOfficial: SuperBowl tonight !"
"dariankisyoung","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"Quinn_TiPsY","Football sucks but the food that comes with it doesn't "
"EvzApura","RT @MellyBadAss_: Who Y'all Got Winning The Super Bowl  ?! RT : Broncos FAV : Seahawks "
"TimboSlice1598","@K_Ellen1409: My dad just got the Galaxy S4 and he's like a little kid on Christmas  same lmao"
"OGKushT","Whats good tonite for the superbowl ??"
"MuckTheDog","RT @OwenJones84: Genuinely shocking. RIP RT @WSJ Breaking: Actor Philip Seymour Hoffman found dead in Manhattan apartment. http://t.co/daRn"
"taraa_alisaa23","RT @Bible_Time: Do not be anxious about anything, but in everything, by prayer and petition, with thanksgiving, present your requests 2 God"
"Jettbrown","I like broncos but I think Seahawks are going to win"
"tucker_penny","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"kylealbertson9","RT @DuckDynastyAE: It's game day Jack! #DuckDynasty #Superbowl"
"andy_lobo","RT @ageorgewood: If one man chats about the fucking #SuperBowl on my timeline, they're getting unfollowed. This is England."
"Arturo_Ulises","@lianamsilvaford The Super Bowl is not football. The World Cup, on the other hand, is."
"FLA_Phantom","#TTO SUPERBOWL SUN S/O @IceColdd_ @Tinkabear @Phantom_TTO @dirtydancing69 @amc4058 @AznPrincess01 @itscolesworld @imhisbae2 @never_estimated"
"h4ley3lder","it's gonna rain all week is this a joke http://t.co/JotWcbUbRG"
"JustCNelz","@RGreenexo yeah got in at half 6....had be up at 10..football tournament all day..just got in...cheers! See ya in a week!!!!"
"FerreriMaple","Your #SuperBowl Blvd.  #NYC Directions http://t.co/vlnTuMZ32D http://t.co/h2DEAHdSgQ"
"pbrokaw","RT @larryelder: Stephanopoulos [Co-star of War Room] Asks Ryan If Pope Would Support Budget-- Ever ask if Pope would support Roe? http:/"
"Sopranolove","Go Broncos! #superbowl http://t.co/lap7rUk7s7"
"daijaraee","Today's the day every girl knows football & tweets what everyone yells at the tv."
"trumpetjm","Have a great Sunday, everyone! #SuperBowlSunday2014 #football #besafe #Seahawks #Broncos #wishihadcable #muchlove"
"Maycie_Belmore","RT @brookebabs: Going for the Broncos because http://t.co/qAouY0kxKd"
"FergusonHunter2","Denver outdoor photochemical process-ranking guidance on top of denver outdoor albertype: rWlWan"
"mike_veronick","RT @marisamiller: Who are you going for today? The best offense in the @nfl vs the best defense. I'm going for @Broncos #SuperBowlSunday"
"modernalbundy","Pretty shitty start to Superbowl Sunday. #RIPPhilipSeymourHoffman"
"vguerrero9","Football y tamales"
"BartKing","Why are football players always trying to impose their wills on each other? I think lawyers should handle their estates."
"MrNickEllis","This is a superb owl #SuperbOwl http://t.co/AHzHOspIQP"
"drskyskull","@DrJenGunter @JenKirkman I imagine that the Superbowl is like the Academy Awards Red Carpet of commercials: looking to see who's hot, & not!"
"Directionermom8","RT @Voice_OT_Orcas: RT @SandyMcElhaney: Attn #SeaWorld: meet your poster boy @kidrock http://t.co/fjZLLqAMlw (4 captivity) #Blackfish http:"
"Mr_B_Robertson","RT @JeremyClarkson: Does any other football club have a well known fan who they wish would support someone else?"
"Newsday","Trust us on this one: Take public transit to the #SuperBowl, organizers say http://t.co/WW8npJLsw2"
"chels_chesney","RT @purplevermin: this virginia weather is almost as confusing and indecisive as its women"
"CreatingIre","RT @lVitall: Retweet for broncos.Fav. for Seahawks."
"pqphermes","@AlexisAmbrosio_ * sorrio de canto e te entrego uma barra de chocolate* tadah!"
"PKSimmons28","Slept in my Broncos shirt last night. I'm past ready for kickoff"
"newmexielexi","Not a bad spot to catch the big game today #SuperBowl #udanationals http://t.co/8hbAWIuWj1"
"markchristyJr","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"AntiBotaX"," /       http://t.co/FKHgToCqdz"
"dkaplanSBJ","@gregaiello Greg, cold weather kits still being handed out?"
"TraciRae11","RT @snooki: The walking dead marathon just made my morning. "
"emilrooijackers","I have a sort of sea-feeling here in the country, now that the ground is all covered with snow. - Melville"
"CalebJonesy0497","RT @TheArtiPatel: laying in bed, drinking hot chocolate, and watching frozen"
"chloegrcefallon","I'm sorry I'm finding it hard to believe my lil bub weather app right now. 52?!? Srsly?! #justcantgetenough"
"barrettcaldwell","RT @AZSuperBowl: The Champs in Time Square is ready for #SB48. Are you? #Broncos #Seahawks https://t.co/SBOErCPkkG"
"mfconner21","Denver Broncos all the way!!!! #SuperBowl"
"utt_jamie","Excited for the #SuperBowl buy also excited for the convos it opens re trafficking and advertising and mascots. #changethename #NotBuyingIt"
"Laureapn","Super desejando chocolate...."
"Cesar_dls","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"vanessap2255","RT @_haileyann_: Broncos Broncos Broncos"
"zwallace95","RT @thesportsphotos: Floyd Money Mayweather placing his  $10.4 million dollar bet on the Denver Broncos winning the Super Bowl. http://t."
"abo1tarek","RT @Syria_AlHadath:  /    !#syria  # http://t.co/kc4gWZhPD1"
"marcpriest","Oh hey snow..."
"Allison_Allicat","RT @FashionweekNYC: The @BudweiserPuppy is the real winner of the Superbowl! #Bestbuds http://t.co/rRnNpRy0e5"
"ShiloMcCall","Haha at church today nearly everyone was wearing some sort of broncos clothing! #OrangeNation"
"MacDougallRy","@mrmichaelrose Crappy line up on the other networks. Glad I like football! Happy SB Sunday!"
"Tamannac7","RT @SuperBowl: FIVE. MORE. HOURS. #SB48 http://t.co/YtVP1kI2I0"
"TroyWoodside","RT @small_affair: Anyone want to #FactCheck a #NWO #FalseFlag #SuperBowl #Illuminati video for @BadKidRebeling? https://t.co/ydfOsQYS3v @Yo"
"SheepNutz","So if Ron Jeremy sees his erection, we get 6 more weeks of winter, right? #HedgehogDay"
"Trabsterr","RT @WizKayy: If the Broncos don't win the Super Bowl by 3 or more ill pay everyone that retweets this $5 http://t.co/KCpEZxh1Wz"
"Lockert99","RT @ROS5IHD: IF Lebron James scores in the #SuperBowl #SuperBowlXLVIII I will give away TOTY Ronaldo!!! RT AND FOLLOW ME TO ENTER "
"vibeziam","RT @NiallOfficial: SuperBowl tonight !"
"SXM_Paradise","The weather in #SXM is perfect for a future #SuperBowl . Maybe @googlechrome can build a stadium for us!"
"itzmikeyyyy","Finally some shorts and tang top weather "
"ctvmtlsports","Lisa LaFlamme in Sochi: rain bringing back memories of Vancouver 2010 http://t.co/0TQHZcbB94"
"BABYDALICIOUS16","RT @samcoop34: Retweet for Broncos  Favorite for Seahawks"
"dpsiphone","A brisk walk each day could counter obesity genes http://t.co/0jWRauSozK"
"ManyHatsMilles","Forgot to mention earlier, Puyallup's Ryan Moore has been sporting Seahawks colors (green, blue, grey) in hat all week at Phoenix Open."
"DevinRussell7","Everybody keep asking me the winner of the Super Bowl. Broncos Seahawks defense to easy to recognize"
"CatcherLife_21","RT @waysofathletes: It's Super Bow Sunday!Retweet for #SeahawksFavorite for #Broncos #SuperBowl #SB48 http://t.co/viuT5C3W8h"
"ZGRYGZ12","@drew_ryan99 u wanna bet on this game? Lol I heard u have the seahawks"
"ThatBoyKip","RT @jonny_suave1: So blessed to be given the opportunity to continue my football career at Syracuse University."
"maryam_amire","yesterday, community came together again to pray for rain. Today it is POURING! Which of God's favor's will we deny?! #Helistens #praytoHim"
"drewshxzza","RT @NiallOfficial: SuperBowl tonight !"
"FeelLucky2BHere","Rep. Paul Ryan: Obama Presidency 'Increasingly Lawless' - ABC News (blog) http://t.co/uXx0raoDkI"
"CSkincare","This Ad Stunned So Many Liberals, The NFL Banned It From The SuperBowl http://t.co/VRfV8M8diL"
"Akazmer24","Everyone knows the Seahawks are gonna win"
"natachef","@Y0rkshirePudd I didn't know Groundhog Day was Yorkshire Pudding day. Are you celebrating 6 more weeks of winter?"
"Laaura213","RT @tomgunner14: Beautiful football! #Arsenal"
"RichGetsome","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"7lefty7","RT @C_Johnson28: I'm going with the Denver Broncos today!"
"wsollis","RT @ACMILAN_MJCUK: Perfect #easter activity #ACMilan have junior football camp in #Baldock at The Arena, #juniorfootball in #herts places g"
"Gat_Dabberstein","There's a superbowl today?"
"MoneySexFresh","I'm goin with the broncos tonight"
"_flaka11","RT @cnnexpansion: Este domingo de #SuperBowl te presentamos 10 datos de los aficionados mexicanos a la NFL http://t.co/5CG7hB6dNj"
"BettingTo200K","Unlucky @FifaCommunity11 who lost his 5k bet on atl Madrid,braga,bayern,Lyon and betis"
"ixagajuku","@DeniixxXx NH House voting on hike safe card program: CONCORD, N.H. (AP) ? New Hampshire's tax writing committee is r...  @worshipcameron"
"speck_bryan","RT @Country_Words0: R/T for Broncos, Fav. for Seahawks!"
"RyanSSenecal","@ScottyMcCreery broncos!"
"IM5AreTheBest","RT @megtrainor: Let's get everyone doing the #TouchDownDance 4 the #SuperBowlXLVIII  #SuperBowl #Seahawks #Broncos @IM5band @DJFLICT http:/"
"AlenaEDx0a","Nuvue Products 20252 Winter Shrub Cover, Hunter Green, 28-Inch: Find the biggest selection of products from Nu... http://t.co/P6HRrm6cPj"
"_YOUNG_ForeverX","It's gone rain all day"
"Wroxall_Weather","Current conditions from Wroxall Weather 6:00 PM 6.8C 89 0.7 mph SSW 1011.3 mb   0.8 mm #iwweather"
"TanajaTanaja","RT @jetlifeboles: Hurricane season >>>"
"keymoney215","Who y'all got bread on for the Superbowl!??? TTM "
"baratwerk","if the broncos win this will be the 4th year in a row I will have been right"
"BMcCartha","RT @TigerFanForum: #Clemson photo of the day: Former Tiger and playing in the Super Bowl today for the Seahawks, Byron Maxwell. http://t.co"
"kaydenhom_Super","RT @AhmedNidah:     #                        #_ http://t.co/x0h"
"Fredo_the_G","Happy Sunday Super Bowl Funday!Also, today is the end of football for a while.. :( On a better note I am spending it with the SM fam!"
"1997Nazha","@Douzi_Official ana nzha de casa ana m3jaba bike bzafe"
"jen_fontaine","Orange Cream Cheese Danish with Preserves for a #Broncos Super Bowl Breakfast! http://t.co/FpO2t0YMF8 via @CreativCulinary"
"madison_rich5","RT @alexharvey00: Can't wait to watch the broncos win tonight "
"FleetWeather","Fleet Weather 5:00 PM 7.0C Hum 77pct 1010.4 mb Today's rain   0.0 mm Indoor tmp 15.3 Avg wind 0.2 mph Gust 0.0 mph Max gust today 15.0"
"yeseagles","RT @politologija_: # #novosti # #news     #?    - https://t.co/RnQ0DIj0TG http://t"
"_tshauni","I go to Superbowl parties to eat serve me some nasty shit if you want to"
"NemesiZOfficial","Enjoy The superbowl everyone!"
"southern_bel","My dog never barks. But she doesn't seem to like these Seahawks fans outside. #SuperBowl"
"Lydia_renee1","I want chocolate...and I want to cuddle...and I want to be lazy all day."
"cecilysunshine","RT @JordanColovos: So I was wondering why everyone is talking about football...turns out it's the super bowl..Ah."
"jaywalk1","Woah RT @WSJ: Breaking: Actor Philip Seymour Hoffman found dead in Manhattan apartment. http://t.co/M7xCVOBcHg"
"leevicorpus","RT @tyleroakley: Many news sources are reporting that Philip Seymour Hoffman has been found dead in his NYC apartment? Devastating. RIP."
"MarreelMichael","RT @Seahawks: SEA!! HULK!!! Has to wait in security lines too. The scene at @NJTransit's Secaucus Junction. #SB48 http://t.co/I4s6jXp6Jy"
"IamKRose","RT @THATgirlx3_: #Seahawks #Seahawks #Seahawks "
"MikeRumsis","RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"
"SussexWildlife","We have invited Owen Paterson to visit an ancient woodland to help him understand this irreplaceable habitat better http://t.co/lFy6yH0RKF"
"uhhhlexxxisss","RT @Abig3iru: I don't care about football but I'd go to a party for food hahahaha"
"StevensonConner","RT @guccii1017: Seattle Seahawks gonna win da super bowl. if they dont ill send send everyone who retweets dis tweet 40$ at the end of da s"
"bonerpvrty","RT @JRsNoFun: It's going to snow tomorrow. You've all been notified so you don't have to shit your pants when it happens."
"JT_Mag","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"HfxSeaportMrkt","RT @BramosoPizza: Looking for a healthy alternative for the Super Bowl? Grab a Family Size Salad (I'd suggest our Feature Winter Salad!)"
"TPolcawich","RT @Phergie_O_Phour: Lol Ringgold's Varsity Hockey team has a game during the superbowl. Lol"
"Barrett_Adams24","The E:60 story on @DemaryiusT was amazing. Kid overcame so much adversity. Best of luck against the Seahawks tonight my man."
"_teenagekickss","@NiallOfficial: SuperBowl tonight ! You're gonna be so tired from timezones though"
"Mr_Bush2You","RT @WoWFactz: NASA captured Guatemala Volcano erupting from space http://t.co/5jvgmhaOIR"
"JaredDJohnson","RT @WesDunn: Just remember, Will is a Seahawks fan. #GoHawks http://t.co/ADEoc8a5Js"
"macyy_raee","#WeCantDateIf you don't watch football"
"wassupjake","Winter Formal was a success !  http://t.co/tO3gfo6qiC"
"_MonicaHughes","More excited to get my braces off tomorrow than I was for Christmas"
"TapZtif12","@JamesClouse55 you say that the Seahawks are going to win period. So why even bother. I'll take Denver."
"kovack_seth34","RT @M_Turner2: #SuperBowlSunday  RT-SeahawksFav-Broncos"
"PaigeReneeShime","RT @DrewErwin: Go Seahawks"
"diamondRenne_","RT @_RICHBRAN: #Broncos "
