"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
34,"admin.","married","secondary","no",560,"yes","no","unknown",5,"may",198,3,-1,0,"unknown","no"
36,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",195,2,-1,0,"unknown","no"
59,"unknown","divorced","unknown","no",27,"no","no","unknown",5,"may",347,3,-1,0,"unknown","no"
48,"management","married","tertiary","no",263,"yes","no","unknown",5,"may",350,2,-1,0,"unknown","no"
25,"admin.","single","secondary","no",122,"yes","no","unknown",6,"may",286,1,-1,0,"unknown","no"
48,"blue-collar","married","unknown","no",131,"yes","no","unknown",6,"may",189,1,-1,0,"unknown","no"
55,"blue-collar","married","secondary","no",224,"yes","no","unknown",6,"may",232,1,-1,0,"unknown","no"
43,"admin.","married","unknown","no",350,"no","no","unknown",6,"may",437,1,-1,0,"unknown","no"
32,"unemployed","married","secondary","no",10,"yes","no","unknown",6,"may",501,4,-1,0,"unknown","no"
43,"blue-collar","married","secondary","no",1205,"yes","no","unknown",6,"may",769,2,-1,0,"unknown","no"
47,"blue-collar","married","primary","no",206,"yes","no","unknown",6,"may",152,1,-1,0,"unknown","no"
32,"services","single","secondary","no",406,"yes","no","unknown",6,"may",227,1,-1,0,"unknown","no"
43,"unemployed","married","secondary","no",0,"yes","no","unknown",6,"may",245,1,-1,0,"unknown","no"
32,"management","single","tertiary","no",151,"yes","no","unknown",6,"may",118,1,-1,0,"unknown","no"
50,"blue-collar","married","primary","no",71,"yes","no","unknown",6,"may",678,1,-1,0,"unknown","no"
39,"management","single","secondary","no",1877,"yes","no","unknown",6,"may",185,1,-1,0,"unknown","no"
39,"blue-collar","divorced","secondary","no",42,"yes","no","unknown",6,"may",226,2,-1,0,"unknown","no"
37,"management","single","tertiary","no",230,"yes","yes","unknown",6,"may",374,1,-1,0,"unknown","no"
26,"admin.","single","secondary","no",712,"yes","no","unknown",6,"may",232,1,-1,0,"unknown","no"
49,"entrepreneur","married","secondary","no",167,"yes","yes","unknown",6,"may",198,3,-1,0,"unknown","no"
30,"admin.","divorced","secondary","no",83,"yes","yes","unknown",6,"may",310,1,-1,0,"unknown","no"
39,"services","divorced","primary","no",471,"yes","no","unknown",6,"may",161,2,-1,0,"unknown","no"
52,"blue-collar","married","secondary","no",3165,"no","no","unknown",6,"may",26,1,-1,0,"unknown","no"
47,"technician","married","secondary","no",83,"yes","no","unknown",6,"may",179,2,-1,0,"unknown","no"
34,"blue-collar","married","secondary","no",0,"no","no","unknown",6,"may",195,1,-1,0,"unknown","no"
44,"management","married","tertiary","no",17,"yes","no","unknown",6,"may",352,2,-1,0,"unknown","no"
38,"technician","married","secondary","no",581,"yes","no","unknown",6,"may",79,1,-1,0,"unknown","no"
37,"blue-collar","married","secondary","no",395,"yes","no","unknown",6,"may",219,2,-1,0,"unknown","no"
56,"blue-collar","married","primary","no",5,"yes","yes","unknown",6,"may",407,2,-1,0,"unknown","no"
40,"blue-collar","married","primary","no",2880,"yes","no","unknown",6,"may",145,2,-1,0,"unknown","no"
40,"technician","single","unknown","no",-5,"yes","no","unknown",6,"may",78,2,-1,0,"unknown","no"
30,"technician","married","secondary","no",484,"yes","no","unknown",6,"may",703,1,-1,0,"unknown","yes"
32,"technician","married","secondary","no",90,"yes","yes","unknown",6,"may",57,2,-1,0,"unknown","no"
56,"admin.","divorced","unknown","no",4246,"yes","no","unknown",6,"may",304,2,-1,0,"unknown","no"
55,"management","single","secondary","no",220,"yes","no","unknown",6,"may",328,2,-1,0,"unknown","no"
37,"blue-collar","single","secondary","no",240,"yes","no","unknown",6,"may",246,1,-1,0,"unknown","no"
41,"services","married","unknown","no",4,"no","no","unknown",6,"may",284,2,-1,0,"unknown","no"
34,"blue-collar","married","secondary","no",848,"yes","no","unknown",6,"may",684,2,-1,0,"unknown","no"
60,"self-employed","married","primary","no",46,"yes","no","unknown",6,"may",202,4,-1,0,"unknown","no"
46,"blue-collar","married","primary","no",530,"yes","no","unknown",6,"may",739,3,-1,0,"unknown","no"
29,"blue-collar","married","secondary","no",43,"yes","no","unknown",6,"may",268,2,-1,0,"unknown","no"
35,"technician","married","secondary","no",-131,"yes","no","unknown",6,"may",467,2,-1,0,"unknown","no"
39,"services","married","secondary","no",1205,"yes","no","unknown",6,"may",118,2,-1,0,"unknown","no"
41,"admin.","divorced","secondary","no",322,"yes","no","unknown",6,"may",87,4,-1,0,"unknown","no"
54,"technician","divorced","secondary","no",83,"yes","no","unknown",6,"may",190,3,-1,0,"unknown","no"
42,"services","divorced","secondary","no",55,"yes","no","unknown",6,"may",176,5,-1,0,"unknown","no"
55,"retired","married","secondary","no",143,"yes","no","unknown",6,"may",42,3,-1,0,"unknown","no"
54,"blue-collar","married","secondary","no",254,"yes","no","unknown",6,"may",66,2,-1,0,"unknown","no"
55,"unemployed","married","tertiary","no",383,"no","no","unknown",6,"may",343,3,-1,0,"unknown","no"
55,"housemaid","divorced","tertiary","no",6920,"yes","no","unknown",6,"may",406,3,-1,0,"unknown","no"
43,"blue-collar","married","primary","no",-454,"yes","no","unknown",7,"may",322,2,-1,0,"unknown","no"
59,"retired","married","secondary","no",836,"yes","no","unknown",7,"may",106,1,-1,0,"unknown","no"
31,"blue-collar","single","secondary","no",53,"yes","no","unknown",7,"may",446,1,-1,0,"unknown","no"
31,"management","divorced","tertiary","no",0,"yes","no","unknown",7,"may",953,3,-1,0,"unknown","no"
33,"blue-collar","married","primary","no",716,"yes","no","unknown",7,"may",83,3,-1,0,"unknown","no"
31,"admin.","single","secondary","no",299,"yes","no","unknown",7,"may",492,2,-1,0,"unknown","no"
40,"blue-collar","married","secondary","no",306,"yes","no","unknown",7,"may",184,2,-1,0,"unknown","no"
31,"services","married","tertiary","no",309,"yes","yes","unknown",7,"may",294,1,-1,0,"unknown","no"
49,"admin.","married","secondary","no",326,"yes","no","unknown",7,"may",99,2,-1,0,"unknown","no"
34,"admin.","divorced","secondary","no",627,"yes","no","unknown",7,"may",283,2,-1,0,"unknown","no"
40,"services","single","tertiary","no",8823,"yes","no","unknown",7,"may",378,1,-1,0,"unknown","no"
37,"self-employed","married","tertiary","no",444,"yes","no","unknown",7,"may",401,2,-1,0,"unknown","no"
32,"blue-collar","married","secondary","no",-205,"yes","no","unknown",7,"may",388,1,-1,0,"unknown","no"
49,"blue-collar","married","secondary","no",90,"yes","no","unknown",7,"may",127,1,-1,0,"unknown","no"
35,"technician","single","secondary","no",1855,"yes","no","unknown",7,"may",138,1,-1,0,"unknown","no"
33,"blue-collar","married","primary","no",198,"yes","no","unknown",7,"may",121,2,-1,0,"unknown","no"
29,"services","single","secondary","no",703,"yes","no","unknown",7,"may",129,5,-1,0,"unknown","no"
31,"unemployed","married","secondary","no",-825,"yes","no","unknown",7,"may",179,2,-1,0,"unknown","no"
33,"management","single","tertiary","no",54,"no","no","unknown",7,"may",262,2,-1,0,"unknown","no"
38,"technician","married","secondary","no",0,"no","no","unknown",7,"may",55,1,-1,0,"unknown","no"
38,"blue-collar","single","secondary","no",-1,"yes","no","unknown",7,"may",72,1,-1,0,"unknown","no"
39,"admin.","married","secondary","no",367,"yes","no","unknown",7,"may",106,1,-1,0,"unknown","no"
43,"blue-collar","single","primary","no",548,"yes","no","unknown",7,"may",98,1,-1,0,"unknown","no"
32,"technician","married","secondary","no",186,"no","no","unknown",7,"may",418,2,-1,0,"unknown","no"
50,"services","single","primary","no",148,"yes","no","unknown",7,"may",198,2,-1,0,"unknown","no"
42,"admin.","divorced","secondary","no",0,"yes","no","unknown",7,"may",229,2,-1,0,"unknown","no"
30,"technician","single","tertiary","no",60,"yes","yes","unknown",7,"may",306,5,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",-20,"yes","no","unknown",7,"may",353,3,-1,0,"unknown","no"
44,"services","divorced","secondary","no",396,"yes","yes","unknown",7,"may",396,4,-1,0,"unknown","no"
59,"blue-collar","married","primary","no",10,"yes","no","unknown",7,"may",133,3,-1,0,"unknown","no"
44,"blue-collar","single","unknown","no",2167,"yes","no","unknown",7,"may",1273,1,-1,0,"unknown","no"
39,"blue-collar","married","tertiary","no",-33,"yes","no","unknown",7,"may",62,5,-1,0,"unknown","no"
59,"housemaid","divorced","unknown","no",873,"yes","no","unknown",7,"may",152,3,-1,0,"unknown","no"
38,"blue-collar","married","primary","no",1807,"no","no","unknown",7,"may",348,3,-1,0,"unknown","no"
43,"admin.","married","tertiary","no",1924,"yes","no","unknown",7,"may",244,7,-1,0,"unknown","no"
37,"blue-collar","married","secondary","no",374,"yes","no","unknown",7,"may",944,3,-1,0,"unknown","no"
56,"management","married","primary","no",93,"yes","no","unknown",7,"may",282,2,-1,0,"unknown","no"
35,"services","married","secondary","no",630,"yes","no","unknown",7,"may",17,2,-1,0,"unknown","no"
28,"admin.","single","secondary","no",260,"yes","no","unknown",7,"may",374,2,-1,0,"unknown","no"
38,"unemployed","married","primary","no",447,"yes","no","unknown",7,"may",365,4,-1,0,"unknown","no"
30,"services","married","secondary","no",442,"yes","no","unknown",8,"may",137,2,-1,0,"unknown","no"
36,"blue-collar","married","secondary","no",-147,"yes","no","unknown",8,"may",156,1,-1,0,"unknown","no"
25,"management","single","tertiary","no",1348,"yes","no","unknown",8,"may",109,1,-1,0,"unknown","no"
27,"services","divorced","secondary","no",96,"yes","no","unknown",8,"may",31,1,-1,0,"unknown","no"
41,"management","married","tertiary","no",141,"yes","yes","unknown",8,"may",146,3,-1,0,"unknown","no"
35,"management","divorced","tertiary","no",3837,"yes","no","unknown",8,"may",1084,1,-1,0,"unknown","yes"
43,"management","married","tertiary","no",870,"yes","yes","unknown",8,"may",528,1,-1,0,"unknown","no"
48,"blue-collar","divorced","primary","no",-18,"yes","no","unknown",8,"may",11,1,-1,0,"unknown","no"
32,"blue-collar","single","secondary","no",5,"yes","yes","unknown",8,"may",134,1,-1,0,"unknown","no"
38,"management","married","secondary","no",65,"yes","no","unknown",8,"may",56,1,-1,0,"unknown","no"
48,"technician","divorced","secondary","no",177,"yes","no","unknown",8,"may",471,1,-1,0,"unknown","no"
61,"blue-collar","married","primary","no",734,"yes","no","unknown",8,"may",204,1,-1,0,"unknown","no"
26,"blue-collar","single","primary","no",318,"yes","no","unknown",8,"may",101,1,-1,0,"unknown","no"
47,"management","married","tertiary","no",643,"yes","no","unknown",8,"may",155,1,-1,0,"unknown","no"
45,"blue-collar","married","primary","no",85,"yes","no","unknown",8,"may",162,1,-1,0,"unknown","no"
26,"blue-collar","single","secondary","no",-29,"yes","no","unknown",8,"may",196,1,-1,0,"unknown","no"
38,"technician","married","tertiary","no",1161,"yes","no","unknown",8,"may",665,1,-1,0,"unknown","no"
33,"services","married","secondary","no",804,"yes","yes","unknown",8,"may",266,1,-1,0,"unknown","no"
50,"technician","married","secondary","no",389,"yes","no","unknown",8,"may",110,1,-1,0,"unknown","no"
27,"services","married","primary","no",91,"yes","no","unknown",8,"may",168,2,-1,0,"unknown","no"
28,"management","single","tertiary","no",21,"yes","no","unknown",8,"may",219,3,-1,0,"unknown","no"
28,"services","married","secondary","no",20,"yes","yes","unknown",8,"may",252,2,-1,0,"unknown","no"
47,"blue-collar","married","secondary","no",116,"yes","no","unknown",8,"may",376,2,-1,0,"unknown","no"
30,"blue-collar","single","secondary","no",648,"yes","yes","unknown",8,"may",287,1,-1,0,"unknown","no"
32,"blue-collar","married","primary","no",289,"yes","no","unknown",8,"may",23,4,-1,0,"unknown","no"
53,"management","married","tertiary","no",1786,"yes","no","unknown",8,"may",66,2,-1,0,"unknown","no"
55,"entrepreneur","married","primary","no",298,"yes","no","unknown",8,"may",144,3,-1,0,"unknown","no"
42,"retired","married","primary","no",0,"yes","no","unknown",8,"may",186,2,-1,0,"unknown","no"
51,"management","married","tertiary","no",751,"no","no","unknown",8,"may",261,5,-1,0,"unknown","no"
42,"technician","married","secondary","no",0,"no","yes","unknown",8,"may",7,3,-1,0,"unknown","no"
38,"services","divorced","secondary","no",5873,"no","no","unknown",8,"may",191,2,-1,0,"unknown","no"
31,"technician","single","tertiary","no",948,"yes","no","unknown",8,"may",91,2,-1,0,"unknown","no"
27,"blue-collar","married","secondary","no",106,"yes","no","unknown",8,"may",207,2,-1,0,"unknown","no"
42,"management","single","tertiary","no",1768,"yes","no","unknown",8,"may",193,2,-1,0,"unknown","no"
41,"blue-collar","married","secondary","no",213,"yes","no","unknown",8,"may",10,2,-1,0,"unknown","no"
38,"unemployed","married","primary","no",1147,"yes","yes","unknown",8,"may",249,5,-1,0,"unknown","no"
31,"blue-collar","married","primary","no",50,"yes","no","unknown",8,"may",300,2,-1,0,"unknown","no"
34,"blue-collar","married","secondary","no",67,"yes","yes","unknown",8,"may",672,3,-1,0,"unknown","no"
33,"admin.","married","secondary","no",61,"yes","yes","unknown",8,"may",116,2,-1,0,"unknown","no"
27,"technician","single","secondary","no",584,"yes","no","unknown",8,"may",192,2,-1,0,"unknown","no"
29,"housemaid","single","secondary","no",718,"yes","no","unknown",8,"may",91,3,-1,0,"unknown","no"
43,"blue-collar","married","primary","no",126,"yes","no","unknown",8,"may",170,2,-1,0,"unknown","no"
42,"self-employed","married","secondary","no",106,"yes","no","unknown",8,"may",515,3,-1,0,"unknown","no"
40,"services","single","secondary","no",23,"yes","no","unknown",8,"may",179,5,-1,0,"unknown","no"
41,"management","married","primary","no",-417,"yes","no","unknown",8,"may",51,3,-1,0,"unknown","no"
56,"technician","divorced","secondary","no",397,"yes","no","unknown",8,"may",185,7,-1,0,"unknown","no"
47,"technician","divorced","secondary","no",699,"yes","no","unknown",8,"may",182,1,-1,0,"unknown","no"
29,"blue-collar","single","secondary","no",-138,"yes","yes","unknown",8,"may",271,5,-1,0,"unknown","no"
35,"management","married","tertiary","no",820,"yes","no","unknown",8,"may",287,4,-1,0,"unknown","no"
58,"management","married","secondary","no",771,"no","no","unknown",8,"may",126,3,-1,0,"unknown","no"
32,"admin.","divorced","secondary","no",281,"yes","no","unknown",8,"may",231,4,-1,0,"unknown","no"
29,"services","single","secondary","no",473,"yes","yes","unknown",9,"may",180,2,-1,0,"unknown","no"
34,"blue-collar","married","primary","no",365,"yes","no","unknown",9,"may",85,2,-1,0,"unknown","no"
42,"blue-collar","married","secondary","no",117,"yes","no","unknown",9,"may",147,1,-1,0,"unknown","no"
49,"services","divorced","secondary","no",470,"yes","no","unknown",9,"may",659,2,-1,0,"unknown","no"
40,"housemaid","divorced","secondary","no",108,"no","no","unknown",9,"may",93,1,-1,0,"unknown","no"
47,"technician","married","primary","no",187,"yes","no","unknown",9,"may",165,1,-1,0,"unknown","no"
28,"blue-collar","single","secondary","no",759,"yes","no","unknown",9,"may",710,1,-1,0,"unknown","yes"
38,"entrepreneur","married","secondary","no",2139,"yes","no","unknown",9,"may",576,1,-1,0,"unknown","no"
31,"unemployed","single","tertiary","no",133,"yes","no","unknown",9,"may",480,2,-1,0,"unknown","no"
36,"services","married","secondary","no",211,"yes","no","unknown",9,"may",93,2,-1,0,"unknown","no"
37,"admin.","divorced","secondary","no",34,"yes","no","unknown",9,"may",144,3,-1,0,"unknown","no"
59,"blue-collar","single","primary","no",96,"yes","no","unknown",9,"may",123,1,-1,0,"unknown","no"
46,"blue-collar","married","secondary","no",-3,"yes","no","unknown",9,"may",92,2,-1,0,"unknown","no"
32,"blue-collar","married","secondary","yes",-1,"yes","no","unknown",9,"may",653,1,-1,0,"unknown","yes"
31,"services","divorced","secondary","no",1656,"yes","no","unknown",9,"may",208,3,-1,0,"unknown","no"
32,"management","married","tertiary","no",0,"no","no","unknown",9,"may",280,1,-1,0,"unknown","no"
60,"technician","married","primary","no",65,"yes","no","unknown",9,"may",1028,2,-1,0,"unknown","yes"
55,"blue-collar","married","primary","no",1373,"no","no","unknown",9,"may",1087,2,-1,0,"unknown","no"
53,"management","married","secondary","no",-133,"yes","no","unknown",9,"may",126,2,-1,0,"unknown","no"
33,"services","married","tertiary","no",546,"yes","yes","unknown",9,"may",253,1,-1,0,"unknown","no"
26,"technician","single","secondary","no",57,"yes","no","unknown",9,"may",404,2,-1,0,"unknown","no"
43,"blue-collar","single","primary","no",36,"yes","no","unknown",9,"may",163,2,-1,0,"unknown","no"
44,"blue-collar","married","primary","no",-11,"yes","no","unknown",9,"may",13,1,-1,0,"unknown","no"
45,"services","married","primary","no",137,"yes","no","unknown",9,"may",274,2,-1,0,"unknown","no"
27,"admin.","married","secondary","no",1033,"yes","no","unknown",9,"may",1713,1,-1,0,"unknown","no"
46,"entrepreneur","married","unknown","no",242,"yes","no","unknown",9,"may",332,2,-1,0,"unknown","no"
34,"blue-collar","single","primary","no",359,"yes","no","unknown",9,"may",154,3,-1,0,"unknown","no"
32,"services","married","secondary","no",59,"yes","yes","unknown",9,"may",202,2,-1,0,"unknown","no"
31,"services","married","secondary","no",0,"no","yes","unknown",9,"may",81,6,-1,0,"unknown","no"
39,"entrepreneur","married","tertiary","no",338,"yes","no","unknown",9,"may",107,4,-1,0,"unknown","no"
31,"management","single","tertiary","no",12,"yes","no","unknown",9,"may",330,4,-1,0,"unknown","no"
37,"blue-collar","married","primary","no",2378,"yes","no","unknown",9,"may",460,2,-1,0,"unknown","no"
35,"blue-collar","married","secondary","no",73,"no","no","unknown",9,"may",134,3,-1,0,"unknown","no"
48,"blue-collar","married","primary","no",231,"yes","no","unknown",9,"may",752,3,-1,0,"unknown","no"
32,"blue-collar","single","secondary","no",-83,"yes","no","unknown",9,"may",116,3,-1,0,"unknown","no"
34,"entrepreneur","divorced","tertiary","no",338,"yes","no","unknown",9,"may",162,2,-1,0,"unknown","no"
29,"services","single","secondary","no",487,"yes","yes","unknown",9,"may",176,2,-1,0,"unknown","no"
27,"admin.","married","secondary","no",133,"yes","yes","unknown",9,"may",338,4,-1,0,"unknown","no"
48,"unemployed","married","primary","no",296,"yes","no","unknown",9,"may",164,8,-1,0,"unknown","no"
41,"admin.","single","secondary","no",-256,"no","yes","unknown",9,"may",35,3,-1,0,"unknown","no"
42,"blue-collar","married","primary","no",-10,"yes","no","unknown",9,"may",291,4,-1,0,"unknown","no"
25,"technician","single","secondary","no",1135,"yes","no","unknown",12,"may",396,3,-1,0,"unknown","no"
37,"blue-collar","married","secondary","no",194,"yes","no","unknown",12,"may",566,7,-1,0,"unknown","no"
29,"technician","married","secondary","no",0,"no","no","unknown",12,"may",33,2,-1,0,"unknown","no"
35,"management","single","tertiary","no",561,"yes","no","unknown",12,"may",405,3,-1,0,"unknown","no"
34,"blue-collar","single","secondary","no",381,"yes","no","unknown",12,"may",102,1,-1,0,"unknown","no"
25,"services","single","secondary","no",-439,"yes","no","unknown",12,"may",293,1,-1,0,"unknown","no"
34,"technician","single","secondary","no",-89,"yes","no","unknown",12,"may",209,1,-1,0,"unknown","no"
29,"admin.","divorced","secondary","no",891,"no","no","unknown",12,"may",820,1,-1,0,"unknown","no"
26,"blue-collar","single","secondary","no",199,"yes","yes","unknown",12,"may",125,1,-1,0,"unknown","no"
37,"technician","married","secondary","no",183,"yes","no","unknown",12,"may",194,2,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",199,"yes","no","unknown",12,"may",165,4,-1,0,"unknown","no"
30,"services","single","secondary","no",122,"yes","no","unknown",12,"may",501,2,-1,0,"unknown","no"
44,"blue-collar","married","secondary","no",23,"yes","no","unknown",12,"may",388,2,-1,0,"unknown","no"
31,"admin.","single","secondary","no",130,"yes","yes","unknown",12,"may",132,1,-1,0,"unknown","no"
37,"services","divorced","secondary","no",904,"yes","no","unknown",12,"may",507,1,-1,0,"unknown","no"
31,"blue-collar","single","primary","no",985,"yes","no","unknown",12,"may",178,2,-1,0,"unknown","no"
48,"blue-collar","single","primary","no",396,"yes","no","unknown",12,"may",194,3,-1,0,"unknown","no"
37,"admin.","single","secondary","no",18,"no","no","unknown",12,"may",574,6,-1,0,"unknown","no"
41,"blue-collar","married","unknown","no",31,"no","no","unknown",12,"may",529,2,-1,0,"unknown","no"
24,"student","single","tertiary","no",1535,"yes","no","unknown",12,"may",126,2,-1,0,"unknown","no"
32,"admin.","divorced","secondary","yes",-18,"yes","no","unknown",12,"may",155,3,-1,0,"unknown","no"
48,"housemaid","divorced","primary","no",26,"yes","no","unknown",12,"may",311,3,-1,0,"unknown","no"
50,"admin.","married","secondary","no",1114,"yes","yes","unknown",12,"may",298,2,-1,0,"unknown","no"
32,"management","married","tertiary","no",-24,"yes","no","unknown",12,"may",93,4,-1,0,"unknown","no"
28,"unemployed","single","secondary","yes",-353,"yes","no","unknown",12,"may",89,3,-1,0,"unknown","no"
38,"management","married","tertiary","no",551,"yes","no","unknown",12,"may",1875,4,-1,0,"unknown","no"
30,"technician","single","secondary","no",317,"yes","no","unknown",12,"may",246,6,-1,0,"unknown","no"
22,"housemaid","single","secondary","no",650,"yes","no","unknown",12,"may",181,4,-1,0,"unknown","no"
32,"admin.","single","tertiary","no",594,"yes","no","unknown",13,"may",134,2,-1,0,"unknown","no"
26,"entrepreneur","single","secondary","no",101,"yes","no","unknown",13,"may",723,1,-1,0,"unknown","no"
45,"blue-collar","married","primary","no",323,"yes","no","unknown",13,"may",276,2,-1,0,"unknown","no"
30,"technician","single","tertiary","no",-522,"yes","no","unknown",13,"may",375,1,-1,0,"unknown","no"
32,"technician","married","primary","no",62,"yes","yes","unknown",13,"may",120,1,-1,0,"unknown","no"
30,"admin.","single","secondary","no",1374,"yes","no","unknown",13,"may",207,1,-1,0,"unknown","no"
42,"unemployed","married","secondary","no",135,"yes","no","unknown",13,"may",259,6,-1,0,"unknown","no"
45,"blue-collar","married","secondary","no",66,"yes","no","unknown",13,"may",3366,3,-1,0,"unknown","no"
28,"blue-collar","married","primary","no",286,"yes","no","unknown",13,"may",237,1,-1,0,"unknown","no"
30,"blue-collar","married","secondary","no",173,"yes","no","unknown",13,"may",217,1,-1,0,"unknown","no"
55,"blue-collar","divorced","primary","no",39,"yes","no","unknown",13,"may",343,1,-1,0,"unknown","no"
30,"services","married","secondary","yes",-846,"yes","no","unknown",13,"may",117,1,-1,0,"unknown","no"
29,"self-employed","single","tertiary","no",-114,"yes","no","unknown",13,"may",174,1,-1,0,"unknown","no"
50,"management","married","primary","no",478,"no","no","unknown",13,"may",126,5,-1,0,"unknown","no"
21,"blue-collar","single","secondary","no",-273,"yes","yes","unknown",13,"may",340,1,-1,0,"unknown","no"
47,"unemployed","married","secondary","no",955,"yes","no","unknown",13,"may",47,1,-1,0,"unknown","no"
41,"unemployed","married","primary","no",1483,"yes","no","unknown",13,"may",227,1,-1,0,"unknown","no"
59,"retired","married","primary","no",5521,"yes","yes","unknown",13,"may",94,1,-1,0,"unknown","no"
43,"blue-collar","married","unknown","no",24,"yes","no","unknown",13,"may",23,2,-1,0,"unknown","no"
50,"blue-collar","married","secondary","no",160,"yes","no","unknown",13,"may",334,1,-1,0,"unknown","no"
32,"technician","married","tertiary","no",463,"yes","no","unknown",13,"may",128,2,-1,0,"unknown","no"
30,"blue-collar","married","secondary","no",-166,"yes","yes","unknown",13,"may",255,5,-1,0,"unknown","no"
23,"entrepreneur","single","primary","no",4,"yes","no","unknown",13,"may",395,2,-1,0,"unknown","yes"
48,"services","married","secondary","no",1199,"yes","no","unknown",13,"may",76,1,-1,0,"unknown","no"
49,"entrepreneur","divorced","secondary","no",159,"yes","no","unknown",13,"may",95,3,-1,0,"unknown","no"
46,"management","married","tertiary","no",48,"no","no","unknown",13,"may",120,1,-1,0,"unknown","no"
50,"blue-collar","married","primary","no",5356,"no","no","unknown",13,"may",289,1,-1,0,"unknown","no"
36,"management","married","tertiary","no",125,"yes","no","unknown",13,"may",355,1,-1,0,"unknown","no"
